# Graph file

######### FORMAT ##########
# Each line designates a vertex or edge. Each line contains the following information, separated by commas.

# For vertices:
# V to designate 'vertex'
# Label (name). Max 10 characters. Must be unique.
# START [optional] if the path must start at this vertex
# END [optional] if the path must end at this vertex

# For edges:
# E to designate 'edge'
# Label (name). Max 10 characters. Does NOT need to be unique.
# Where the edge starts: label of vertex
# Where the edge ends: label of vertex
# Weight of edge

V,i,START
V,ii
V,iii
V,iv
V,v
V,vi
V,vii
V,viii
V,ix
V,x
V,xi
V,xii,END
V,xiii

E,A,i,iv,3
E,B,i,v,6
E,C,i,vi,1
E,D,ii,iii,9
E,E,ii,vii,-5
E,F,iii,vi,-4
E,G,iii,x,-1
E,H,v,vi,-6
E,I,iv,viii,5
E,J,v,xii,-5
E,K,vi,ix,8
E,L,x,xiii,2
E,M,vii,xi,5
E,N,viii,xii,-8
E,O,ix,xii,-6
E,P,ix,xiii,-2
E,Q,xi,xiii,8
